mainFrameColor,9,91,135
jButton1,128,121,176
jButton2,76,241,3
jButton3,37,139,32
jButton4,96,91,165
jButton5,177,67,157
jButton6,138,175,84
jButton7,148,103,12
jButton8,121,48,107
jButton9,131,240,153
jButton10,81,55,60
jButton11,88,112,123
jButton12,5,235,141
jButton13,198,180,144
jButton14,33,54,96
jButton15,147,37,243
jButton16,95,66,252
jButton17,49,61,109
jButton18,158,178,112
jTextField1,21,193,216
jTextField1TextColor,59,101,162
jLabel1,55,232,196
jPanel1,218,128,47
jPanel2,79,114,176
jPanel3,152,104,97
jPanel4,183,115,42
jPanel5,24,225,89
