mainFrameColor,80,110,27
jButton1,41,153,62
jButton2,242,193,169
jButton3,155,99,168
jButton4,46,76,167
jButton5,95,190,77
jButton6,111,174,31
jButton7,211,50,65
jButton8,154,252,170
jButton9,17,160,71
jButton10,144,242,155
jButton11,196,243,81
jButton12,59,50,10
jButton13,59,14,56
jButton14,188,124,194
jButton15,223,46,163
jButton16,118,189,110
jButton17,219,78,118
jButton18,111,218,85
jTextField1,120,180,60
jTextField1TextColor,176,44,109
jLabel1,253,69,74
jPanel1,179,28,255
jPanel2,171,69,206
jPanel3,138,71,226
jPanel4,253,99,243
jPanel5,174,206,163
